Age,Emotion
18-35,Already Knowing. No Problem
14-18,Already Knowing. No Problem
18-35,Already Knowing. No Problem
18-35,Not interested
18-35,Not interested
18-35,Already Knowing. No Problem
18-35,I was angry
14-18,Already Knowing. No Problem
18-35,Not interested
18-35,I was angry
18-35,I freaked out
18-35,Not interested
14-18,I was angry
0-12,I freaked out
18-35,Already Knowing. No Problem
18-35,Already Knowing. No Problem
14-18,Already Knowing. No Problem
18-35,Already Knowing. No Problem
14-18,Already Knowing. No Problem
14-18,Not interested
18-35,I freaked out
14-18,Not interested
14-18,Already Knowing. No Problem
14-18,Not interested
18-35,Already Knowing. No Problem
18-35,Already Knowing. No Problem
18-35,Already Knowing. No Problem
18-35,Already Knowing. No Problem
14-18,I freaked out
35-60,Already Knowing. No Problem
18-35,Already Knowing. No Problem
14-18,Not interested
18-35,Not interested
14-18,Not interested
14-18,Already Knowing. No Problem
18-35,Already Knowing. No Problem
14-18,Already Knowing. No Problem
14-18,Already Knowing. No Problem
18-35,I was angry
18-35,Already Knowing. No Problem
14-18,I was angry
18-35,Already Knowing. No Problem
0-12,I was angry
18-35,Already Knowing. No Problem
18-35,Already Knowing. No Problem
14-18,Already Knowing. No Problem
18-35,Already Knowing. No Problem
14-18,Not interested
14-18,Not interested
14-18,Not interested
18-35,Not interested
14-18,Not interested
14-18,Already Knowing. No Problem
18-35,Not interested
14-18,Not interested
18-35,Already Knowing. No Problem
0-12,I am glad that they serve me better
14-18,Not interested
14-18,I was angry
18-35,Already Knowing. No Problem
18-35,Not interested
0-12,I freaked out
14-18,Already Knowing. No Problem
18-35,Already Knowing. No Problem
14-18,Already Knowing. No Problem
14-18,Already Knowing. No Problem
14-18,Not interested
14-18,Already Knowing. No Problem
18-35,Already Knowing. No Problem
14-18,I was angry
14-18,Already Knowing. No Problem
18-35,I freaked out
18-35,I freaked out
14-18,I freaked out
18-35,Already Knowing. No Problem
14-18,I freaked out
0-12,I freaked out
14-18,Already Knowing. No Problem
14-18,Not interested
14-18,Not interested
18-35,Not interested
14-18,Not interested
18-35,Already Knowing. No Problem
14-18,Already Knowing. No Problem
14-18,Not interested
14-18,Already Knowing. No Problem
0-12,I freaked out
14-18,Already Knowing. No Problem
18-35,Not interested
14-18,Not interested
18-35,I was angry
14-18,Not interested
14-18,Already Knowing. No Problem
18-35,Not interested
18-35,Not interested
14-18,Already Knowing. No Problem
18-35,I freaked out
18-35,Not interested
14-18,Already Knowing. No Problem
18-35,I was angry
14-18,Already Knowing. No Problem
14-18,Not interested
18-35,I was angry
14-18,I was angry
18-35,Already Knowing. No Problem
18-35,Already Knowing. No Problem
18-35,Not interested